pdf,thumb,ok,width,height,bytes,error
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Hume. Cuándo saber ser escéptico (Gerardo López Sastre).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Hume. Cuándo saber ser escéptico (Gerardo López Sastre).cover.jpg,True,405,600,26142,
"D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista.cover.jpg",True,415,600,46470,
"D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Teixidó - Necesidades, Valores y Normas desde una Filosofía Científica_.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Teixidó - Necesidades, Valores y Normas desde una Filosofía Científica_.cover.jpg",True,480,600,63696,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ The Stoic Capitalist (Robert Rosenkranz).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ The Stoic Capitalist (Robert Rosenkranz).cover.jpg,True,464,600,32328,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\3727820.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\3727820.cover.jpg,True,425,600,30246,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\AA VV - Anarquismo y nacionalismo.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\AA VV - Anarquismo y nacionalismo.cover.jpg,True,415,600,59809,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\Pelletier - El anarcosindicalismo en Japon.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\Pelletier - El anarcosindicalismo en Japon.cover.jpg,True,423,600,36313,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA _(1929-1932).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA _(1929-1932).cover.jpg,True,424,600,28145,
"D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg.cover.jpg",True,464,600,20505,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism_(Roderick McMillan).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism_(Roderick McMillan).cover.jpg,True,451,600,9083,
